dt,maxco,nx,ncells,nlayers,tsr,cp,cd,yplus_min,yplus_max,yplus_mean,ddt_scheme
0.002,nan,70,51293,20,3.248059659991644,0.6128421395798795,1.7314432901566297,0.1121937639,2.646516651,1.064363173,Euler
0.002,nan,70,51293,20,2.749526333124513,0.6973908258487712,1.6022423931344085,0.09224525152,2.617761299,0.905301575,Euler
0.002,nan,70,51293,20,2.2506925043642605,0.6760119649107504,1.451148071120393,0.06400060307,2.413227036,0.7209110031,Euler
0.002,nan,70,51293,20,1.7498498662851711,0.37882393044771384,1.1886589241417986,0.05128713875,1.757775657,0.6444498046,Euler
0.002,nan,70,51293,20,1.2440832242286903,0.14692798125131004,0.9399305186573473,0.01779268377,1.333960784,0.4558397841,Euler
0.002,nan,70,51293,20,0.712422656044263,0.030455316971926102,0.6429134339438592,0.0126700698,1.553938828,0.3528844762,Euler
0.002,nan,70,51293,20,nan,nan,nan,0.01188412376,1.37743515,0.3516310091,Euler
0.002,nan,70,51293,20,0.9950233007337641,0.062199665185724756,0.841719156637274,0.03160974386,1.527127671,0.5190513026,Euler
0.002,nan,70,51293,20,1.4931818856828434,0.26122862376446604,0.9181228614211294,0.05118571797,2.395669601,0.5115860787,Euler
0.002,nan,70,51293,20,1.9936343138288495,0.5561962765815226,1.3340513020949976,0.06130304156,2.180386737,0.6302858865,Euler
0.002,nan,70,51293,20,2.4956384953417934,0.7094401985024276,1.5149359420590993,0.0530764822,1.940794885,0.7398843015,Euler
0.002,nan,70,51293,20,2.9980536073869852,0.673731344279307,1.6755809009663818,0.08627628634,2.098668014,0.893351896,Euler
0.002,nan,70,51293,20,3.4998443877918195,0.5626438789353934,1.8037539209199953,0.1065703042,2.496455314,1.043804733,Euler
0.002,nan,70,51293,20,4.000469082092254,0.39621020246879735,1.9001278176125564,0.125297154,2.721281249,1.236069356,Euler
0.002,nan,70,51293,20,4.500059774024556,0.18204781950468094,1.965125319947239,0.1432768801,3.031906918,1.430148383,Euler
0.002,nan,70,51293,20,4.999158973273699,-0.06878849932755007,2.0153096104316672,0.08578259957,3.163924647,1.588736778,Euler
0.002,nan,70,51293,20,5.498485858942256,-0.35267533217548835,2.060058156088658,0.1959722452,3.157883327,1.690201767,Euler
